ID;Outline_Number;Name;Duration;Start_Date;Finish_Date;AsmTV;BigScreen;Major;Public;SumTask;Class;URL;Title_EN;Title_FI;Location_EN;Location_FI;Location_URL;Outline_Level
86;4.10.2;Oldskool & extreme jury;4 hrs;Thu 6.8.10 22:15;Fri 7.8.10 2:15;No;No;No;Yes;No;Compo_jury;/summer09/compos/realtime/oldskool;Extreme music, graphics and Oldskool demo - jury - come to Infodesk;Extreme musiikki, grafiikka ja Oldskool-demo - jury - tule Infodeskille;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
87;4.10.3;Oldskool  & Extreme feedback;15 mins;Fri 7.8.10 10:45;Fri 7.8.10 11:00;No;No;No;Yes;No;Compo_feedback;/summer09/compos/realtime/oldskool;Extreme music, graphics and Oldskool demo - feedback at Infodesk;Extreme musiikki, grafiikka ja Oldskool-demo - palautetilaisuus Infodeskillä;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
88;4.10.4;Oldskool & extreme recording;4 hrs;Fri 7.8.10 11:00;Fri 7.8.10 15:00;No;No;No;Yes;No;Compo;/summer09/compos/realtime/oldskool;Extreme music, graphics and Oldskool demo - compo entry recording, come to Infodesk;Extreme musiikki, grafiikka ja Oldskool-demo - kompoteosten nauhoitus, tule Infodeskille;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
89;4.10.5;Oldskool & extreme VODding;2,5 hrs;Fri 7.8.10 15:00;Fri 7.8.10 17:30;No;No;No;No;No;Compo;;;;;;;3
90;4.10.6;Extreme music - showing;45 mins;Fri 7.8.10 22:00;Fri 7.8.10 22:45;No;No;Yes;Yes;No;Compo_show;/summer09/compos/realtime/extreme#music;Extreme music compo;Extreme musiikki-kompo;Big screen;Big screen;/summer09/at-party/maps/party-place#first;3
91;4.10.7;Extreme graphics - showing;15 mins;Fri 7.8.10 23:00;Fri 7.8.10 23:15;No;No;Yes;Yes;No;Compo_show;/summer09/compos/realtime/extreme#graphics;Extreme graphics compo;Extreme grafiikka-kompo;Big screen;Big screen;/summer09/at-party/maps/party-place#first;3
92;4.10.8;Oldskool demo - showing;60 mins;Sat 8.8.10 0:30;Sat 8.8.10 1:30;No;No;Yes;Yes;No;Compo_show;/summer09/compos/realtime/oldskool;Oldskool demo compo;Oldskool demo-kompo;Big screen;Big screen;/summer09/at-party/maps/party-place#first;3
93;4.11;Music;1575 mins;Fri 7.8.10 13:00;Sat 8.8.10 15:15;No;No;No;No;Yes;;;;;;;;2
94;4.11.1;Jury;5 hrs;Fri 7.8.10 13:00;Fri 7.8.10 18:00;No;No;No;Yes;No;Compo_jury;/summer09/compos/sound-vision/music#freestyle;Music compo - jury - come to Infodesk;Musiikki-kompo - jury - tule Infodeskille;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
95;4.11.2;Feedback;15 mins;Fri 7.8.10 18:30;Fri 7.8.10 18:45;No;No;No;Yes;No;Compo_feedback;/summer09/compos/sound-vision/music#freestyle;Music compo - feedback at Infodesk;Musiikki-kompo - palautetilaisuus Infodeskillä;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
96;4.11.3;Showing;45 mins;Sat 8.8.10 14:30;Sat 8.8.10 15:15;Yes;Yes;Yes;Yes;No;Compo_show;/summer09/compos/sound-vision/music#freestyle;Music compo;Musiikki-kompo;Big screen;Big screen;/summer09/at-party/maps/party-place#first;3
97;4.12;Graphics;1545 mins;Fri 7.8.10 14:00;Sat 8.8.10 15:45;No;No;No;No;Yes;;;;;;;;2
98;4.12.1;Jury;2,5 hrs;Fri 7.8.10 14:00;Fri 7.8.10 16:30;No;No;No;Yes;No;Compo_jury;/summer09/compos/sound-vision/graphics#freestyle;Graphics compo - jury - come to Infodesk;Grafiikka-kompo - jury - tule Infodeskille;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
99;4.12.2;Feedback;15 mins;Fri 7.8.10 17:15;Fri 7.8.10 17:30;No;No;No;Yes;No;Compo_feedback;/summer09/compos/sound-vision/graphics#freestyle;Graphics compo - feedback at Infodesk;Grafiikka-kompo - palautetilaisuus Infodeskillä;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
100;4.12.3;Showing;15 mins;Sat 8.8.10 15:30;Sat 8.8.10 15:45;Yes;Yes;Yes;Yes;No;Compo_show;/summer09/compos/sound-vision/graphics#freestyle;Graphics compo;Grafiikka-kompo-kompo;Big screen;Big screen;/summer09/at-party/maps/party-place#first;3
101;4.13;Real wild demo;1935 mins;Fri 7.8.10 9:00;Sat 8.8.10 17:15;No;No;No;No;Yes;;;;;;;;2
102;4.13.1;Recording & shooting help;2 hrs;Fri 7.8.10 9:00;Fri 7.8.10 11:00;No;No;No;Yes;No;Compo;/summer09/compos/realtime/demo#mobile;Real wild demo - recording assistance - come to Infodesk;Real wild demo - tallennusapu - tule Infodeskille;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
103;4.13.2;Jury;2 hrs;Fri 7.8.10 20:30;Fri 7.8.10 22:30;No;No;No;Yes;No;Compo_jury;/summer09/compos/realtime/demo#mobile;Real wild demo - jury - come to Infodesk;Real wild - jury - tule Infodeskille;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
104;4.13.3;Feedback;15 mins;Fri 7.8.10 23:00;Fri 7.8.10 23:15;No;No;No;Yes;No;Compo_feedback;/summer09/compos/realtime/demo#mobile;Real wild demo - feedback at Infodesk;Real wild - palautetilaisuus Infodeskillä;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
105;4.13.4;Showing;45 mins;Sat 8.8.10 16:30;Sat 8.8.10 17:15;Yes;Yes;Yes;Yes;No;Compo_show;/summer09/compos/realtime/demo#mobile;Real wild demo compo;Real wild-kompo;Big screen;Big screen;/summer09/at-party/maps/party-place#first;3
106;4.14;Short film;2775 mins;Thu 6.8.10 22:00;Sat 8.8.10 20:15;No;No;No;No;Yes;;;;;;;;2
